id,name
299,"2 B Rych"
300,"!It Jeans"
14,"212 Collection"
301,"3.1 Philip Lim"
302,"45 RPM"
303,"525 America"
11,"7 For All Mankind"
47,"A Byer"
304,"A.B.S. by Allen Schwartz"
305,"AA Studio"
45,"AB Studio"
44,"Abercromble & Fitch"
133,"Alice + Olivia"
30,"America Rag"
23,Annthropologie
306,"Abercrombie &amp; Fitch"
307,Acorn
308,"Adela Fado"
43,Adidas
309,"Adidas (Tops only)"
310,"Adidas by Stella McCartney"
311,Adiva
312,Adolfo
313,"Adrianna Papell"
42,"Adriano Goldschmied"
314,"Adrienne Landau"
315,"Adrienne Vittadini"
41,Aerie
40,Aeropostale
316,Aerosoles
317,Afflication
318,"Agatha Brown"
39,AGB
319,"Agnes B"
320,"Aidan Mattox"
321,Airstep
322,Akris
323,"Akris Punto"
324,Alaia
325,"Albert Nipon"
326,"Albert Weiss"
327,"Alberta Ferretti"
328,"Alberto Makali"
329,Aldo
330,"Alice by Temperly"
331,"Alessandro Dell'acqua"
332,"Alex &amp; Ani"
333,"Alex &amp; Ava"
334,"Alex &amp; Kelly"
335,"Alex Cannon"
336,"Alex Gaines"
337,"Alex Wang"
338,"Alexander Birman"
38,"Alexander McQueen"
37,"Alexander Wang"
339,"Alexia Admor"
340,Alexis
341,"Alexis Bittar"
342,"Alexis Hudson"
69,"Alexis Taylor"
101,Alfani
343,"Alfred Dunhill"
344,"Alfred Dunhill"
345,"Alfred Dunner"
346,"Ali &amp; Kris"
347,"Ali &amp; Kris"
348,"Ali ro"
349,"Aliage Paris"
350,"Alice &amp; Olivia"
351,"Alice & Trixie"
352,"Alise Marie"
353,"Alisha Hill"
354,"Alison and Sasha"
355,"Alison Ayres Company"
165,"All Saints"
356,"Allegra Hicks"
357,"Allen Allen"
358,"Allen Edmonds"
359,Allihop
360,Alternative
32,"Alternative Apparel"
361,"Alto Moda Firenze"
362,"Alviero Martini"
363,"Alyn Paige"
31,"Amber Sun"
364,"American Apparel"
365,"American Eagle"
366,"American Living"
367,"American Rag"
368,"American Vintage"
369,"American West"
28,"Amour Vert"
370,"Amy Calire Andre Assous"
371,"A.N.A New Approach"
372,"Andre Oliver"
373,"Andrea Candela"
374,"Angel by thierry"
375,"Angel of the North"
